Movie Name,Release Date,Genre,Runtime,Story,IMDb Rating,Vote Count,Director,Actors,Movie URL
Iruvar,1997-01-14,"Biography, Drama",2h 20m,"A struggling actor and a writer-politician become friends as young men and rise to great heights in cinema and politics respectively. But when both become contenders for the top political post in the state, a rift develops between...",8.4,9019,Mani Ratnam,"Mohanlal, Aishwarya Rai Bachchan, Prakash Raj",https://www.imdb.com/title/tt0119385/
Andhadhun,2018-10-05,"Comedy, Crime, Mystery",2h 19m,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",8.2,117528,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte",https://www.imdb.com/title/tt8108198/
Kannathil Muthamittal,2002-02-14,"Action, Drama, Musical",2h 16m,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",8.3,10844,Mani Ratnam,"Keerthana Parthiepan, Simran, Madhavan",https://www.imdb.com/title/tt0312859/
Jana Gana Mana,2022-04-28,"Drama, Thriller",2h 42m,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.",8.3,22175,Dijo Jose Antony,"Prithviraj Sukumaran, Suraj Venjaramoodu, Pasupathi Raj",https://www.imdb.com/title/tt13391710/
Papanasam,2015-07-03,"Crime, Drama, Mystery",2h 59m,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime.,8.4,9581,Jeethu Joseph,"Kamal Haasan, Gautami, Nivetha Thomas",https://www.imdb.com/title/tt4429128/
Michael Madana Kama Rajan,1990-10-17,Comedy,2h 42m,"A comedy of errors with identical quadruplets, separated at birth, coming together as adults.",8.5,7969,Singeetam Srinivasa Rao,"Kamal Haasan, Urvashi, Komal Mahuvakar",https://www.imdb.com/title/tt0140377/
Vikram Vedha,2017-07-21,"Action, Crime, Drama",2h 27m,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",8.2,55821,"Gayatri, Pushkar","Madhavan, Vijay Sethupathi, Shraddha Srinath",https://www.imdb.com/title/tt6148156/
Tumbbad,2018-10-12,"Drama, Fantasy, Horror",1h 48m,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,8.2,76621,"Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Sohum Shah, Jyoti Malshe, Dhundiraj Prabhakar Jogalekar",https://www.imdb.com/title/tt8239946/
Sairat,2016-04-29,"Drama, Romance",2h 54m,"In interior Maharashtra, a fisherman's son and a local politician's daughter fall in love against the restrictions of caste hierarchy.",8.3,16522,Nagraj Manjule,"Rinku Rajguru, Akash Thosar, Arbaz Shaikh",https://www.imdb.com/title/tt5312232/
Virumandi,2021-01-14,"Action, Crime, Drama",2h 55m,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,8.4,9817,Kamal Haasan,"Kamal Haasan, Abhirami, Pasupathy",https://www.imdb.com/title/tt0364647/
Shahid,2013-10-18,"Biography, Drama",2h 9m,"The account of Human Rights lawyer Shahid Azmi, an ordinary citizen with an extraordinary commitment to justice.",8.2,21650,Hansal Mehta,"Rajkummar Rao, Prabhleen Sandhu, Mohd. Zeeshan Ayyub",https://www.imdb.com/title/tt2181831/
Vikram,2022-06-03,"Action, Crime, Thriller",2h 55m,A covert investigation changes its course when special officer Amar encounters an unrelenting Vikram and his pursuit to take down a notorious drug cartel.,8.3,90438,Lokesh Kanagaraj,"Kamal Haasan, Vijay Sethupathi, Fahadh Faasil",https://www.imdb.com/title/tt9179430/
Nayak,1966-05-06,Drama,1h 57m,"En route to Delhi to receive an award, a Bengali film star reevaluates his success through his fellow passengers, dreams, and past experiences.",8.3,6183,Satyajit Ray,"Uttam Kumar, Sharmila Tagore, Bireswar Sen",https://www.imdb.com/title/tt0060742/
Mandela,2021-04-04,"Comedy, Drama",2h 20m,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,8.3,9974,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan",https://www.imdb.com/title/tt10687070/
Super Deluxe,2019-03-28,"Comedy, Crime, Drama",2h 56m,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.",8.2,20173,Thiagarajan Kumararaja,"Vijay Sethupathi, Fahadh Faasil, Samantha Ruth Prabhu",https://www.imdb.com/title/tt7019942/
Mahavatar Narsimha,2025-08-01,"Animation, Action, Drama",2h 10m,The demon Hiranyakashyap seeks revenge on Vishnu and declares himself a god. His son Prahlad remains devoted to Vishnu. Vishnu manifests as Narsimha to defeat the demon and restore balance.,8.5,48338,Ashwin Kumar,"Aditya Raj Sharma, Haripriya Matta, Sanket Jaiswal",https://www.imdb.com/title/tt34365591/
Paan Singh Tomar,2012-03-02,"Action, Biography, Crime",2h 15m,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared criminals in Chambal Valley after his retirement.",8.2,40337,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Sanjeeva Vats",https://www.imdb.com/title/tt1620933/
Pudhu Pettai,2006-05-26,"Action, Crime, Drama",2h 48m,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld.",8.4,9737,K. Selvaraghavan,"Dhanush, Sneha, Sonia Agarwal",https://www.imdb.com/title/tt0459516/
PK,2014-12-19,"Comedy, Drama, Musical",2h 33m,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.,8.1,224990,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt",https://www.imdb.com/title/tt2338151/
Dhurandhar,2025-12-05,"Action, Crime, Thriller",3h 34m,"A mysterious traveler slips into the heart of Karachi's underbelly and rises through its ranks with lethal precision, only to tear the notorious ISI-Underworld nexus apart from within.",8.2,148113,Aditya Dhar,"Ranveer Singh, Akshaye Khanna, Sanjay Dutt",https://www.imdb.com/title/tt33014583/
Chak De! India,2025-11-01,"Drama, Family, Sport",2h 33m,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",8.1,92408,Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge",https://www.imdb.com/title/tt0871510/
